General Education,3.1,22.0,35000,45000,47.1,,,,,,,,,,,
General Engineering,3.1,29.7,59000,85000,36.4,,,,,,,,,,,
General Social Sciences,4.6,55.9,30000,54000,39.0,,,,,,,,,,,
Geography,6.8,57.9,35000,60000,31.7,,,,,,,,,,,
Health Services,3.9,48.2,34000,51000,51.6,,,,,,,,,,,
History,6.0,53.5,35000,62000,48.6,,,,,,,,,,,
Industrial Engineering,4.7,25.9,62000,89000,41.2,,,,,,,,,,,
Information Systems and Management,5.4,44.2,45000,70000,24.4,,,,,,,,,,,
Interdisciplinary Studies,6.3,52.0,35000,60000,37.3,,,,,,,,,,,
International Affairs,5.5,48.9,40000,70000,42.4,,,,,,,,,,,
Journalism,4.6,42.2,35000,68000,23.7,,,,,,,,,,,
Leisure and Hospitality,5.1,62.2,31000,53000,29.6,,,,,,,,,,,
Liberal Arts,5.3,56.9,35000,57000,28.0,,,,,,,,,,,
Marketing,2.9,54.4,40000,70000,17.4,,,,,,,,,,,
Mass Media,8.5,57.7,33400,58000,19.2,,,,,,,,,,,
Mathematics,5.9,29.0,44000,79000,51.3,,,,,,,,,,,
Mechanical Engineering,3.2,22.3,60000,94000,40.4,,,,,,,,,,,
Medical Technicians,4.2,58.7,44300,60000,22.6,,,,,,,,,,,
Miscellaneous Biological Sciences,4.6,47.0,34500,60000,60.0,,,,,,,,,,,
Miscellaneous Education,1.6,19.6,35000,45000,53.8,,,,,,,,,,,
Miscellaneous Engineering,4.0,25.5,55000,85000,44.1,,,,,,,,,,,
Miscellaneous Physical Sciences,5.3,32.8,40000,65000,53.4,,,,,,,,,,,
Miscellaneous Technologies,3.4,64.1,33000,70000,17.5,,,,,,,,,,,
Nursing,2.5,12.8,50000,65000,26.3,,,,,,,,,,,
Nutrition Sciences,2.1,50.1,36000,60000,44.7,,,,,,,,,,,
Performing Arts,6.0,65.0,30000,51000,39.3,,,,,,,,,,,
Pharmacy,4.3,25.3,45000,110000,55.7,,,,,,,,,,,
Philosophy,4.3,50.1,35000,60000,55.7,,,,,,,,,,,
Physics,3.7,33.5,45000,80000,71.4,,,,,,,,,,,
Political Science,5.7,50.0,40000,70000,51.6,,,,,,,,,,,
Psychology,5.7,50.3,31000,52000,49.9,,,,,,,,,,,
Public Policy and Law,7.1,63.3,32000,60000,45.3,,,,,,,,,,,
Secondary Education,2.4,25.6,34500,47000,47.7,,,,,,,,,,,
Social Services,4.7,35.2,30000,42000,47.1,,,,,,,,,,,
Sociology,6.5,52.0,35000,53000,36.3,,,,,,,,,,,
Special Education,1.1,17.3,35000,45000,59.3,,,,,,,,,,,
Theology and Religion,6.4,49.9,27000,45000,44.9,,,,,,,,,,,
Treatment Therapy,3.3,33.0,30000,65000,43.1,,,,,,,,,,,
Overall,4.5,44.3,39000,64000,37.3,,,,,,,,,,,
