time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-18T12:45:06.400Z,33.4931667,-116.4823333,16.32,0.54,ml,22,98,0.05611,0.29,ci,ci37341864,2015-03-18T12:49:05.149Z,"19km ESE of Anza, California",earthquake
2015-03-18T12:37:42.670Z,33.8143333,-118.5948333,12.7,2.13,ml,44,156,0.1739,0.28,ci,ci37341856,2015-03-18T12:42:29.259Z,"19km WSW of Manhattan Beach, California",earthquake
2015-03-18T12:29:41.980Z,38.7869987,-122.7276688,1.99,1.48,md,21,71,0.008013,0.03,nc,nc72413265,2015-03-18T14:53:55.249Z,"2km ENE of The Geysers, California",earthquake
2015-03-18T12:11:53.339Z,40.0523,-117.7147,7.1021,2.08,ml,11,285.28,1.047,0.1696,nn,nn00487279,2015-03-18T15:22:04.272Z,"66km ESE of Lovelock, Nevada",earthquake
2015-03-18T11:59:10.000Z,60.5654,-151.658,94.2,2.6,ml,,,,0.98,ak,ak11531077,2015-03-18T12:13:45.344Z,"21km W of Kenai, Alaska",earthquake
2015-03-18T11:59:05.670Z,62.7014,138.3248,10,4.9,mb,,45,4.083,1.47,us,us10001nel,2015-03-18T12:19:07.582Z,"43km WNW of Nezhdaninskoe, Russia",earthquake
2015-03-18T11:56:06.320Z,32.6471667,-115.9471667,8.26,1.75,ml,29,92,0.02101,0.34,ci,ci37341848,2015-03-18T15:29:14.270Z,"11km SSE of Ocotillo, California",earthquake
2015-03-18T11:48:00.460Z,38.828167,-122.788002,5.74,0.42,md,10,97,0.01039,0.05,nc,nc72413250,2015-03-18T12:31:06.086Z,"5km W of Cobb, California",earthquake
2015-03-18T11:41:47.000Z,63.2733,-150.3697,102.3,1.3,ml,,,,0.63,ak,ak11531075,2015-03-18T11:59:37.529Z,"72km W of Cantwell, Alaska",earthquake
2015-03-18T11:34:22.550Z,38.7886658,-122.8841629,4.54,1.04,md,12,192,0.02109,0.04,nc,nc72413240,2015-03-18T12:10:06.018Z,"11km E of Cloverdale, California",earthquake
2015-03-18T11:25:19.000Z,65.2002,-149.0752,7.9,1.2,ml,,,,0.26,ak,ak11531031,2015-03-18T11:46:25.870Z,"63km NW of Ester, Alaska",earthquake
2015-03-18T11:22:01.410Z,38.8224983,-122.8079987,3.35,1.39,md,36,34,0.001852,0.03,nc,nc72413220,2015-03-18T14:27:05.326Z,"6km NW of The Geysers, California",earthquake
2015-03-18T11:21:45.230Z,38.8223343,-122.8073349,3.12,1.12,md,23,79,0.002387,0.03,nc,nc72413225,2015-03-18T14:01:05.255Z,"6km NW of The Geysers, California",earthquake
2015-03-18T11:21:14.730Z,34.0223333,-116.865,19.92,1.08,ml,32,41,0.04921,0.24,ci,ci37341840,2015-03-18T11:25:03.579Z,"11km N of Banning, California",earthquake
2015-03-18T11:01:32.550Z,33.6055,-116.8191667,10.86,0.63,ml,24,72,0.03418,0.22,ci,ci37341832,2015-03-18T11:05:33.177Z,"15km WNW of Anza, California",earthquake
2015-03-18T11:01:14.070Z,33.9386667,-118.7783333,8.98,1.3,ml,15,191,0.06975,0.4,ci,ci37341824,2015-03-18T11:05:14.735Z,"8km SSE of Malibu, California",earthquake
2015-03-18T10:55:58.000Z,63.5414,-150.8653,14.4,1.6,ml,,,,0.47,ak,ak11531028,2015-03-18T11:15:36.969Z,"96km W of Cantwell, Alaska",earthquake
2015-03-18T10:53:35.000Z,60.7445,-152.8087,206.4,2,ml,,,,0.89,ak,ak11531026,2015-03-18T11:15:27.389Z,"29km N of Redoubt Volcano, Alaska",earthquake
2015-03-18T10:48:24.050Z,38.4812,-119.0545,21.38,1.6,ml,6,222.86,0.593,,nn,nn00487274,2015-03-18T10:50:26.143Z,"29km NNE of Bridgeport, California",earthquake
2015-03-18T10:24:48.410Z,38.8390007,-122.7835007,1.92,1.54,md,29,84,0.005377,0.04,nc,nc72413190,2015-03-18T12:19:04.394Z,"5km WNW of Cobb, California",earthquake
2015-03-18T10:07:23.650Z,38.7796669,-122.7675018,0.73,0.86,md,16,83,0.009037,0.04,nc,nc72413185,2015-03-18T11:53:04.325Z,"0km WNW of The Geysers, California",earthquake
2015-03-18T10:03:49.900Z,17.9748,-65.4046,13,2.6,Md,8,158.4,0.18595126,0.23,pr,pr15077005,2015-03-18T10:53:08.515Z,"15km SSE of Esperanza, Puerto Rico",earthquake
2015-03-18T09:53:05.170Z,33.4123333,-116.4103333,16.67,0.75,ml,27,140,0.1115,0.21,ci,ci37341816,2015-03-18T09:56:58.776Z,"18km N of Borrego Springs, California",earthquake
2015-03-18T09:09:04.270Z,35.8339996,-121.2699966,7.44,1.83,md,9,128,0.09913,0.03,nc,nc72413175,2015-03-18T11:03:07.478Z,"22km NNW of San Simeon, California",earthquake
2015-03-18T09:00:29.850Z,38.8073349,-122.795166,1.08,0.85,md,15,99,0.0006412,0.02,nc,nc72413170,2015-03-18T10:36:04.322Z,"4km NW of The Geysers, California",earthquake
2015-03-18T08:43:48.790Z,33.4695,-116.5716667,8.76,0.36,ml,23,81,0.08264,0.17,ci,ci37341800,2015-03-18T08:47:56.701Z,"13km SE of Anza, California",earthquake
2015-03-18T08:41:42.000Z,17.8925,-67.1473,8,2,Md,5,291.6,0.12396751,0.31,pr,pr15077010,2015-03-18T13:00:10.189Z,"9km SSE of Pole Ojea, Puerto Rico",earthquake
2015-03-18T08:39:49.492Z,37.3689,-116.0584,2.7621,0.35,ml,15,271.01,0.173,0.1668,nn,nn00487272,2015-03-18T13:46:02.179Z,"79km W of Alamo, Nevada",earthquake
2015-03-18T08:23:53.000Z,17.7504,-67.114,34,2.2,Md,10,284.4,0.22727377,0.31,pr,pr15077008,2015-03-18T12:35:16.551Z,"25km SSE of Pole Ojea, Puerto Rico",earthquake
2015-03-18T07:53:04.520Z,33.381,-116.3795,13.15,0.66,ml,21,88,0.1168,0.19,ci,ci37341792,2015-03-18T07:57:05.469Z,"14km N of Borrego Springs, California",earthquake
2015-03-18T07:50:05.258Z,37.0624,-116.4426,9.5363,0.2,ml,12,80.07,0.023,0.1082,nn,nn00487271,2015-03-18T13:36:34.485Z,"32km ENE of Beatty, Nevada",earthquake
2015-03-18T07:48:06.000Z,62.3227,-148.2226,46.2,1,ml,,,,0.13,ak,ak11530981,2015-03-18T08:04:50.444Z,"67km NNE of Sutton-Alpine, Alaska",earthquake
2015-03-18T07:47:47.907Z,37.3685,-116.0392,6.4269,0.91,ml,13,301.16,0.177,0.2003,nn,nn00487270,2015-03-18T13:30:11.190Z,"77km W of Alamo, Nevada",earthquake
2015-03-18T07:45:11.240Z,37.3635,-116.045,5.1888,1.11,ml,17,189.08,0.171,0.1838,nn,nn00487269,2015-03-18T13:01:33.068Z,"78km W of Alamo, Nevada",earthquake
2015-03-18T07:40:34.700Z,19.409,-64.9085,46,3,Md,5,313.2,1.15074188,0.11,pr,pr15077007,2015-03-18T15:43:01.044Z,"114km NNW of Road Town, British Virgin Islands",earthquake
2015-03-18T07:37:54.531Z,37.3597,-116.0401,3.2,0.89,ml,8,299.93,0.169,0.1169,nn,nn00487284,2015-03-18T13:23:53.861Z,"77km W of Alamo, Nevada",earthquake
2015-03-18T07:36:29.154Z,37.3529,-116.0366,6.7916,1.27,ml,18,186.18,0.164,0.1886,nn,nn00487268,2015-03-18T13:17:35.527Z,"77km W of Alamo, Nevada",earthquake
2015-03-18T07:28:15.250Z,38.7553329,-122.7226639,4.1,0.67,md,9,158,0.01729,0.05,nc,nc72413160,2015-03-18T07:49:04.974Z,"3km SE of The Geysers, California",earthquake
2015-03-18T07:23:21.210Z,38.7540016,-122.7198334,2.41,1.19,md,13,107,0.01934,0.04,nc,nc72413155,2015-03-18T10:10:06.008Z,"4km SE of The Geysers, California",earthquake
2015-03-18T07:17:13.000Z,65.0094,-148.7821,11.6,0.7,ml,,,,0.19,ak,ak11530940,2015-03-18T07:38:25.587Z,"40km WNW of Ester, Alaska",earthquake
2015-03-18T07:12:12.900Z,19.4232,-155.4027,4.3,2.6,Ml,,36,0.07186522,0.25,hv,hv60874621,2015-03-18T15:14:54.617Z,"17km W of Volcano, Hawaii",earthquake
2015-03-18T06:58:53.445Z,41.8657,-119.6318,9.2583,1.16,ml,5,222.38,0.15,0.1065,nn,nn00487288,2015-03-18T15:15:13.741Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-18T06:18:27.000Z,61.3524,-152.1645,111.4,2.5,ml,,,,0.7,ak,ak11530933,2015-03-18T14:21:09.980Z,"87km NNW of Nikiski, Alaska",earthquake
2015-03-18T06:09:39.990Z,33.574,-116.754,5.53,-0.03,ml,14,147,0.01637,0.29,ci,ci37341776,2015-03-18T06:13:25.706Z,"8km WNW of Anza, California",earthquake
2015-03-18T06:05:26.000Z,61.9807,-145.2181,17.5,1.7,ml,,,,0.81,ak,ak11530930,2015-03-18T06:18:12.513Z,"22km SE of Glennallen, Alaska",earthquake
2015-03-18T06:05:06.710Z,38.8128319,-122.8256683,3.39,0.85,md,11,110,0.004815,0.03,nc,nc72413140,2015-03-18T06:20:05.679Z,"7km WNW of The Geysers, California",earthquake
2015-03-18T05:39:16.930Z,-18.5619,-71.4133,23.4,4.8,mwr,,142,1.034,1.52,us,us10001ndn,2015-03-18T13:41:58.032Z,"102km S of Ilo, Peru",earthquake
2015-03-18T05:38:44.000Z,63.9068,-148.6495,121,1.4,ml,,,,0.27,ak,ak11530923,2015-03-18T05:51:54.741Z,"16km ENE of Healy, Alaska",earthquake
2015-03-18T05:30:23.100Z,19.6142,-66.138,73,3.2,Md,13,284.4,1.18847112,0.47,pr,pr15077009,2015-03-18T13:33:01.791Z,"127km N of San Juan, Puerto Rico",earthquake
2015-03-18T05:14:44.600Z,19.9302,-64.6035,45,3.4,Md,11,320.4,1.73644344,0.28,pr,pr15077006,2015-03-18T13:17:23.188Z,"167km N of Road Town, British Virgin Islands",earthquake
2015-03-18T05:11:32.330Z,34.2705,-119.5776667,14.94,1.82,ml,13,144,0.1383,0.46,ci,ci37341768,2015-03-18T05:15:31.215Z,"15km SSW of Carpinteria, California",earthquake
2015-03-18T05:09:18.000Z,62.7312,-149.6286,68.2,1.7,ml,,,,0.61,ak,ak11530885,2015-03-18T05:25:16.788Z,"51km NNE of Talkeetna, Alaska",earthquake
2015-03-18T05:04:53.720Z,39.701,-121.1471667,0.08,2.24,md,31,87,0.2722,0.13,nc,nc72413130,2015-03-18T15:57:20.850Z,"22km ENE of Berry Creek, California",earthquake
2015-03-18T05:02:44.000Z,61.5272,-151.2468,0.1,2.2,ml,,,,0.84,ak,ak11530881,2015-03-18T05:12:26.562Z,"68km W of Big Lake, Alaska",earthquake
2015-03-18T04:58:59.054Z,38.4456,-116.4551,0,1.26,ml,6,219.15,0.689,0.2433,nn,nn00487260,2015-03-18T05:56:14.906Z,"29km NNW of Warm Springs, Nevada",earthquake
2015-03-18T04:53:00.000Z,63.117,-151.6551,19.7,1.1,ml,,,,0.31,ak,ak11530879,2015-03-18T05:12:25.986Z,"118km NW of Talkeetna, Alaska",earthquake
2015-03-18T04:45:08.900Z,36.052,-117.6026667,0.73,1.19,ml,18,113,,0.25,ci,ci37341760,2015-03-18T04:48:56.395Z,"30km ENE of Little Lake, California",earthquake
2015-03-18T04:40:32.560Z,38.8226662,-122.7655029,2.67,0.93,md,13,71,0.008521,0.04,nc,nc72413110,2015-03-18T04:55:04.680Z,"3km W of Cobb, California",earthquake
2015-03-18T04:36:43.100Z,19.5923,-65.997,71,3.4,Md,14,284.4,1.21811553,0.44,pr,pr15077004,2015-03-18T12:39:12.854Z,"125km N of San Juan, Puerto Rico",earthquake
2015-03-18T04:27:50.930Z,36.0481667,-117.6036667,1.36,0.78,ml,19,173,,0.26,ci,ci37341752,2015-03-18T15:50:40.229Z,"30km ENE of Little Lake, California",earthquake
2015-03-18T04:25:48.000Z,62.8929,-149.0278,10.2,1.2,ml,,,,0.67,ak,ak11530875,2015-03-18T04:45:05.097Z,"55km S of Cantwell, Alaska",earthquake
2015-03-18T04:15:06.000Z,62.0942,-148.747,34.6,1.3,ml,,,,0.27,ak,ak11530867,2015-03-18T04:31:42.375Z,"33km N of Sutton-Alpine, Alaska",earthquake
2015-03-18T04:10:45.240Z,33.651,-116.7553333,13.12,0.62,ml,26,75,0.05763,0.22,ci,ci37341744,2015-03-18T04:14:46.806Z,"10km SSW of Idyllwild, California",earthquake
2015-03-18T04:08:00.430Z,38.7849998,-122.7720032,2.74,1.51,md,28,107,0.01488,0.03,nc,nc72413100,2015-03-18T08:24:04.081Z,"1km WNW of The Geysers, California",earthquake
2015-03-18T04:07:22.000Z,61.7084,-149.8946,34.5,1.3,ml,,,,0.29,ak,ak11530866,2015-03-18T04:18:11.845Z,"8km ESE of Willow, Alaska",earthquake
2015-03-18T04:00:46.830Z,38.8121681,-122.8201675,3.43,1.15,md,28,91,0.007773,0.02,nc,nc72413095,2015-03-18T07:58:04.442Z,"6km NW of The Geysers, California",earthquake
2015-03-18T03:43:43.000Z,66.5656,-147.5608,8.8,1.8,ml,,,,0.79,ak,ak11530837,2015-03-18T03:51:52.978Z,"101km W of Fort Yukon, Alaska",earthquake
2015-03-18T03:37:12.150Z,38.8240013,-122.7891693,2.65,0.55,md,7,89,0.01261,0.01,nc,nc72413090,2015-03-18T03:52:05.149Z,"5km W of Cobb, California",earthquake
2015-03-18T03:21:46.190Z,13.1257,51.4177,10,4.6,mb,,159,2.577,0.7,us,us10001nd8,2015-03-18T11:24:14.726Z,"136km NW of Kilmia, Yemen",earthquake
2015-03-18T03:17:12.390Z,37.4251671,-118.6135025,10.61,1.23,md,7,157,0.08227,0.03,nc,nc72413085,2015-03-18T07:04:05.611Z,"15km WNW of West Bishop, California",earthquake
2015-03-18T03:15:51.000Z,60.0819,-152.751,102.1,2.3,ml,,,,0.57,ak,ak11530829,2015-03-18T03:36:01.728Z,"44km S of Redoubt Volcano, Alaska",earthquake
2015-03-18T03:08:36.000Z,62.8363,-148.9138,18.6,1.1,ml,,,,0.26,ak,ak11530827,2015-03-18T03:23:31.440Z,"61km S of Cantwell, Alaska",earthquake
2015-03-18T03:05:19.000Z,62.7233,-150.3947,200,1.6,ml,,,,,ak,ak11530825,2015-03-18T03:23:30.863Z,"46km NNW of Talkeetna, Alaska",earthquake
2015-03-18T03:03:58.800Z,19.552,-66.0875,46,2.5,Md,9,291.6,1.23608183,0.23,pr,pr15077003,2015-03-18T11:06:30.649Z,"120km N of San Juan, Puerto Rico",earthquake
2015-03-18T02:57:39.100Z,19.4033,-155.2765,1.5,1.9,Md,,36,0.00898315,0.17,hv,hv60874491,2015-03-18T03:00:59.808Z,"5km SW of Volcano, Hawaii",earthquake
2015-03-18T02:43:11.000Z,62.3756,-148.0582,43.8,1.4,ml,,,,0.46,ak,ak11530796,2015-03-18T03:09:24.349Z,"76km NNE of Sutton-Alpine, Alaska",earthquake
2015-03-18T02:40:08.180Z,34.0398333,-117.2621667,17.72,1.11,ml,48,45,0.0697,0.29,ci,ci37341704,2015-03-18T02:51:03.540Z,"1km S of Loma Linda, California",earthquake
2015-03-18T02:33:45.000Z,60.5583,-150.1307,46.9,1,ml,,,,0.17,ak,ak11530795,2015-03-18T02:56:27.599Z,"34km E of Sterling, Alaska",earthquake
2015-03-18T02:29:43.000Z,66.3837,-147.5344,0.2,1.6,ml,,,,1.07,ak,ak11530794,2015-03-18T02:56:23.525Z,"102km W of Fort Yukon, Alaska",earthquake
2015-03-18T02:21:28.100Z,33.5935,-116.8305,10.27,0.23,ml,10,156,0.03916,0.19,ci,ci37341688,2015-03-18T02:25:16.885Z,"15km WNW of Anza, California",earthquake
2015-03-18T02:19:45.410Z,32.897,-116.2716667,4.82,0.86,ml,11,88,0.02486,0.22,ci,ci37341680,2015-03-18T02:23:41.120Z,"26km ENE of Pine Valley, California",earthquake
2015-03-18T02:16:17.510Z,33.9975,-116.545,11.59,1.2,ml,40,41,0.0948,0.25,ci,ci37341672,2015-03-18T02:26:42.670Z,"6km NW of Desert Hot Springs, California",earthquake
2015-03-18T02:06:38.540Z,43.7326667,-121.2358333,2.99,1.83,md,10,135,0.01082,0.1,uw,uw60985826,2015-03-18T15:49:08.680Z,"21km ESE of Three Rivers, Oregon",earthquake
2015-03-18T02:05:13.220Z,43.7253333,-121.2343333,3.27,-0.42,md,6,208,0.003424,0.08,uw,uw60985831,2015-03-18T03:55:19.190Z,"21km ESE of Three Rivers, Oregon",earthquake
2015-03-18T02:02:26.170Z,41.4063333,-122.2091667,0.7,1.11,md,13,77,0.07387,0.07,nc,nc72413070,2015-03-18T15:54:55.610Z,"13km NE of Mount Shasta, California",earthquake
2015-03-18T01:55:42.060Z,36.0588333,-117.5976667,1.88,0.12,ml,5,202,0.1187,0.08,ci,ci37341664,2015-03-18T15:18:12.854Z,"31km ENE of Little Lake, California",earthquake
2015-03-18T01:54:21.000Z,60.5666,-150.0859,40.2,1.6,ml,,,,0.37,ak,ak11530789,2015-03-18T02:29:10.475Z,"37km E of Sterling, Alaska",earthquake
2015-03-18T01:45:55.300Z,19.9671,-64.9742,54,3.5,Md,9,306,1.67625632,0.23,pr,pr15077001,2015-03-18T09:48:39.113Z,"175km NNW of Road Town, British Virgin Islands",earthquake
2015-03-18T01:45:25.300Z,17.8915,-66.5205,16,1.4,Md,4,244.8,0.00718652,0.46,pr,pr15077002,2015-03-18T04:18:28.577Z,"11km SSW of Potala Pastillo, Puerto Rico",earthquake
2015-03-18T01:38:17.530Z,33.4308333,-116.8286667,1.55,0.62,ml,11,177,0.0821,0.4,ci,ci37341640,2015-03-18T01:42:08.933Z,"4km ESE of Aguanga, California",earthquake
2015-03-18T01:29:26.720Z,33.5958333,-116.7173333,2.68,0.24,ml,15,83,0.03463,0.2,ci,ci37341632,2015-03-18T01:33:15.070Z,"6km NW of Anza, California",earthquake
2015-03-18T01:25:16.000Z,63.1786,-150.9103,250,1.3,ml,,,,5.45,ak,ak11530690,2015-03-18T01:45:48.013Z,"101km WSW of Cantwell, Alaska",earthquake
2015-03-18T01:22:18.770Z,-0.6954,122.331,40.73,4.9,mb,,54,0.559,1.2,us,us10001nc9,2015-03-18T09:24:51.758Z,"58km WNW of Luwuk, Indonesia",earthquake
2015-03-18T01:22:02.000Z,64.6705,-148.651,16.4,1.5,ml,,,,0.36,ak,ak11530687,2015-03-18T01:45:47.434Z,"24km ENE of North Nenana, Alaska",earthquake
2015-03-18T01:18:59.000Z,19.7502,-66.0859,84,3.7,Md,11,302.4,1.3339982,0.25,pr,pr15077000,2015-03-18T09:21:41.688Z,"142km N of San Juan, Puerto Rico",earthquake
2015-03-18T01:03:06.920Z,38.8484993,-122.8166656,1.73,0.43,md,6,147,0.008067,0.01,nc,nc72413040,2015-03-18T01:04:46.100Z,"8km WNW of Cobb, California",earthquake
2015-03-18T01:02:36.570Z,38.8468323,-122.8180008,1.68,0.43,md,9,125,0.008862,0.02,nc,nc72413035,2015-03-18T01:04:18.580Z,"8km WNW of Cobb, California",earthquake
2015-03-18T00:59:11.080Z,38.8453331,-122.8195038,0.61,1.83,md,12,97,0.0238,0.02,nc,nc72413030,2015-03-18T02:03:08.252Z,"8km WNW of Cobb, California",earthquake
2015-03-18T00:59:08.980Z,38.8466682,-122.8184967,1.47,2.06,md,10,117,0.01553,0.02,nc,nc72413025,2015-03-18T05:25:04.693Z,"8km WNW of Cobb, California",earthquake
2015-03-18T00:51:02.100Z,35.143,-118.7435,1.57,0.74,ml,7,105,0.07277,0.12,ci,ci37341624,2015-03-18T15:32:41.141Z,"11km SE of Arvin, California",earthquake
2015-03-18T00:49:05.650Z,47.7968333,-122.786,16.88,0.47,md,7,217,0.08567,0.27,uw,uw60985811,2015-03-18T00:58:23.390Z,"9km W of Lofall, Washington",earthquake
2015-03-18T00:46:53.760Z,38.7801666,-122.7151642,3.02,0.84,md,11,97,0.007079,0.02,nc,nc72413015,2015-03-18T01:42:05.640Z,"3km E of The Geysers, California",earthquake
2015-03-18T00:39:49.000Z,62.6772,-153.2469,9.7,1.5,ml,,,,0.77,ak,ak11530685,2015-03-18T00:57:14.706Z,"123km ESE of McGrath, Alaska",earthquake
2015-03-18T00:39:19.740Z,47.2353333,-120.695,7.86,1.82,ml,9,108,0.02737,0.12,uw,uw60985806,2015-03-18T08:41:49.659Z,"19km ENE of Cle Elum, Washington",earthquake
2015-03-18T00:32:51.330Z,33.2615,-116.4335,3.71,1,ml,29,137,0.01523,0.26,ci,ci37341600,2015-03-18T00:36:52.217Z,"6km W of Borrego Springs, California",earthquake
2015-03-18T00:32:22.000Z,60.7631,-151.5291,58.5,1.9,ml,,,,0.63,ak,ak11530681,2015-03-18T00:57:14.132Z,"15km WNW of Nikiski, Alaska",earthquake
2015-03-18T00:26:02.260Z,33.4753333,-116.4328333,16.22,0.95,ml,30,63,0.04831,0.27,ci,ci37341592,2015-03-18T00:30:00.133Z,"24km SSW of La Quinta, California",earthquake
2015-03-18T00:11:07.250Z,35.746666,-121.1165009,7.18,1.65,md,10,82,0.02279,0.04,nc,nc72413000,2015-03-18T05:00:06.278Z,"13km NNE of San Simeon, California",earthquake
2015-03-18T00:10:04.150Z,33.925,-116.0236667,1.1,0.99,ml,24,57,0.07832,0.3,ci,ci37341584,2015-03-18T00:14:02.636Z,"24km S of Twentynine Palms, California",earthquake
2015-03-18T00:07:39.960Z,33.9266667,-116.0241667,3,1.47,ml,34,52,0.07684,0.21,ci,ci37341576,2015-03-18T00:18:26.830Z,"24km S of Twentynine Palms, California",earthquake
2015-03-17T23:45:32.740Z,36.5879,-97.6126,3.36,4.2,mb_lg,,25,0.309,0.53,us,us10001nbd,2015-03-18T15:07:47.488Z,"26km SSE of Medford, Oklahoma",earthquake
2015-03-17T23:43:51.800Z,-29.5011,-71.7125,39.7,4.4,mb,,184,1.01,1.23,us,us10001nba,2015-03-18T07:46:35.150Z,"61km NW of Coquimbo, Chile",earthquake
2015-03-17T23:41:05.300Z,33.5013333,-116.5035,15.71,1.25,ml,43,90,0.06055,0.2,ci,ci37341544,2015-03-17T23:45:07.523Z,"17km ESE of Anza, California",earthquake
2015-03-17T23:35:49.360Z,35.0446667,-117.6641667,0.01,1.73,ml,27,87,0.1131,0.15,ci,ci37341536,2015-03-18T16:03:58.879Z,"5km NNW of Boron, California",quarry blast
2015-03-17T23:29:58.520Z,47.7463333,-122.4135,6.94,0.93,md,9,135,0.09077,0.24,uw,uw60985791,2015-03-18T00:55:46.310Z,"5km W of Shoreline, Washington",earthquake
2015-03-17T23:27:26.120Z,38.8429985,-122.8274994,2.38,0.28,md,8,92,0.007635,0.02,nc,nc72412985,2015-03-17T23:48:05.198Z,"9km WNW of Cobb, California",earthquake
2015-03-17T23:25:17.170Z,33.5023333,-116.5011667,16.13,0.63,ml,19,131,0.0604,0.13,ci,ci37341528,2015-03-18T00:53:38.541Z,"17km ESE of Anza, California",earthquake
2015-03-17T23:14:03.000Z,62.8223,-148.8381,61.2,1.7,ml,,,,0.42,ak,ak11530642,2015-03-17T23:25:37.603Z,"63km S of Cantwell, Alaska",earthquake
2015-03-17T23:13:56.790Z,33.472,-116.5728333,8.93,1.45,ml,45,77,0.03339,0.13,ci,ci37341512,2015-03-18T16:00:09.940Z,"13km SE of Anza, California",earthquake
2015-03-17T23:09:20.000Z,65.0425,-147.3239,0.6,1.3,ml,,,,0.89,ak,ak11530641,2015-03-17T23:25:37.024Z,"28km NNE of Badger, Alaska",earthquake
